Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Discount
O26710,C4798,P0235,01/02/2023,2,1.1798072303000462
O13492,C2575,P0426,01/02/2023,7,0.9516654078008486
O13336,C3374,P0248,2023-01-01,5,0.49585003915464704
O24509,C4792,P0035,2023-01-01,5,0.7506142686948623
O19843,C3713,P0112,March 5 2023,2,0.06202199370517536
O26845,C3748,P0442,2023-01-01,3,0.6702906905967998
O17373,C0604,P0120,March 5 2023,3,0.6891326180734441
O12684,C3350,P0483,March 5 2023,3,0.22423609607408118
O17321,C3796,P0253,March 5 2023,2,0.6991790657534749
O06654,C2700,P0386,01/02/2023,2,0.8806034910675964
O23373,C1650,P0061,2023-01-01,1,1.4260868607023345
O25015,C4416,P0405,01/02/2023,4,0.27890155629168467
O07342,C3548,P0405,01/02/2023,9,1.205488555314424
O22407,C0303,P0223,March 5 2023,5,0.6860533819065759
O02358,C0518,P0421,2023-01-01,6,1.1960631357941098
O26583,C4030,P0049,01/02/2023,7,1.2325640025650815
O19729,C0940,P0470,March 5 2023,9,0.24001072795800743
O28706,C2878,P0180,2023-01-01,3,0.2547901467354842
O06360,C0079,P0119,01/02/2023,4,0.045779177841158425
O21200,C0102,P0468,01/02/2023,6,0.9654120557493373
O03743,C0728,P0131,2023-01-01,4,1.0253741750310315
O07159,C4237,P0206,2023-01-01,4,1.4245589039952207
O00518,C2450,P0236,01/02/2023,9,0.46811747115430286
O16652,C0955,P0020,01/02/2023,3,0.026766989601788277
O12925,C3660,P0019,March 5 2023,9,0.5349356512718897
O14810,C4865,P0211,01/02/2023,9,0.7192454148176588
O16239,C4914,P0248,2023-01-01,9,1.374448807977859
O21828,C0739,P0372,March 5 2023,1,1.2556885074917792
O05475,C4257,P0280,01/02/2023,8,-0.06689294831132517
O04185,C0593,P0428,2023-01-01,2,-0.11016566343101686
O05161,C3549,P0319,01/02/2023,8,-0.023362640145557834
O09580,C0562,P0316,2023-01-01,4,1.3653738372414965
O09886,C1699,P0249,March 5 2023,4,0.7321718446976051
O11465,C0724,P0308,2023-01-01,8,-0.04613376498694152
O25965,C1433,P0222,01/02/2023,8,0.9179183159777597
O20249,C1342,P0195,01/02/2023,9,-0.016107980039785696
O11221,C1895,P0183,2023-01-01,4,0.2657749500856613
O24395,C4483,P0092,2023-01-01,3,0.8849359073910981
O02335,C4100,P0354,March 5 2023,8,0.47138797539326077
O03674,C2282,P0221,01/02/2023,7,0.15716615340866452
O04576,C0374,P0441,2023-01-01,8,0.9130343945156969
O14972,C2322,P0456,2023-01-01,7,1.2610910017461012
O00500,C1394,P0292,01/02/2023,1,0.258142585574098
O26237,C3873,P0004,2023-01-01,8,1.426729114108823
O26675,C1555,P0376,March 5 2023,2,-0.13720951795559683
O08083,C0923,P0273,2023-01-01,9,-0.08603589804638788
O08294,C0840,P0032,01/02/2023,7,1.400686113212744
O15720,C1730,P0268,2023-01-01,9,0.0179764880797027
O05543,C4072,P0416,March 5 2023,4,0.5168530209657374
O19130,C4723,P0240,01/02/2023,3,0.4737481636738124
O03276,C2051,P0295,2023-01-01,1,0.06823116943991964
O19469,C3910,P0100,01/02/2023,4,1.4804388427900457
O22119,C1547,P0449,2023-01-01,4,0.5033873416173069
O24180,C3978,P0107,March 5 2023,2,0.5128796777332845
O06613,C2453,P0489,March 5 2023,3,0.3542458269920889
O11729,C1436,P0267,01/02/2023,8,0.4676349357759379
O01327,C3260,P0092,01/02/2023,2,1.18535874865108
O07772,C2364,P0092,2023-01-01,9,0.3697423427155458
O10666,C4614,P0174,01/02/2023,5,0.427380326094214
O26255,C0923,P0431,2023-01-01,6,-0.17662786845799364
O20130,C1450,P0278,March 5 2023,5,0.155905140839456
O22068,C1545,P0039,01/02/2023,6,-0.10306518211524332
O16289,C4786,P0251,01/02/2023,6,0.09511131072297979
O18946,C3813,P0116,March 5 2023,4,0.9351893079505191
O20547,C2904,P0388,01/02/2023,5,1.4210407411615817
O19701,C2258,P0419,March 5 2023,6,0.15302547919057757
O18820,C3864,P0286,2023-01-01,7,1.2385334640097037
O05769,C4542,P0150,March 5 2023,5,0.2275329992065584
O24883,C0069,P0015,March 5 2023,3,0.30196971374379006
O28572,C1324,P0071,2023-01-01,3,0.11018729908549663
O13663,C3139,P0008,March 5 2023,3,0.6883700941955249
O05918,C2329,P0181,March 5 2023,3,1.254179255288339
O17473,C0367,P0449,March 5 2023,1,0.8424670302979071
O04555,C1883,P0401,March 5 2023,7,0.38646062682056875
O02394,C2088,P0046,March 5 2023,4,-0.008983326639441597
O22852,C0684,P0082,March 5 2023,4,0.8473241551743038
O20388,C1773,P0292,01/02/2023,3,0.20404514812897823
O00666,C3713,P0039,March 5 2023,4,1.1843754624666396
O22102,C2564,P0071,01/02/2023,8,0.6625179300139736
O21536,C3941,P0120,2023-01-01,6,1.2382034628980392
O12355,C3201,P0208,2023-01-01,8,0.16602627200550812
O02234,C1920,P0324,2023-01-01,2,0.5283349753768896
O06335,C0687,P0327,March 5 2023,3,-0.13153060327619914
O17620,C3093,P0457,March 5 2023,7,-0.06999149259237061
O18007,C2088,P0130,2023-01-01,1,0.17146900634830187
O17758,C0152,P0194,01/02/2023,1,0.05961851904669346
O23659,C4653,P0222,2023-01-01,9,1.344398391151636
O11503,C4028,P0346,March 5 2023,6,1.125477266474641
O06359,C1070,P0219,01/02/2023,7,0.44838915162171805
O16560,C3790,P0037,01/02/2023,7,0.19927114669467366
O13876,C4098,P0099,01/02/2023,5,0.8831410182407495
O25929,C4871,P0154,01/02/2023,1,1.1428907625771179
O23088,C1059,P0271,March 5 2023,5,1.2276145543288304
O02928,C2858,P0142,2023-01-01,6,0.06579275282433117
O25201,C4091,P0071,2023-01-01,1,0.03798638739350543
O07617,C4338,P0486,2023-01-01,7,0.0058285572750996495
O27230,C3821,P0176,2023-01-01,5,0.138365343101922
O07614,C1441,P0411,2023-01-01,1,0.6098559204449572
O28184,C2266,P0462,2023-01-01,6,0.9294410871262293
O20099,C2248,P0443,2023-01-01,3,0.5689892929463982
O04274,C4489,P0383,2023-01-01,6,0.610386428113427
O24970,C0600,P0407,2023-01-01,4,0.32776414395761483
O25744,C0835,P0196,01/02/2023,2,1.3264174354800105
O04971,C0399,P0069,2023-01-01,7,0.7603494771256627
O29633,C2328,P0443,March 5 2023,4,-0.14099581043921106
O08389,C1007,P0182,March 5 2023,1,0.2929835039028808
O17352,C0766,P0132,2023-01-01,8,1.0458415816829287
O28484,C0432,P0280,2023-01-01,1,0.5856881669075558
O19539,C0399,P0039,2023-01-01,1,1.3661785261282058
O21148,C0328,P0134,2023-01-01,4,0.6027378602341515
O02504,C4730,P0158,March 5 2023,4,0.9946697553615667
O24027,C1771,P0444,March 5 2023,9,0.8721037690984734
O25852,C1612,P0002,01/02/2023,3,-0.11620615786133519
O06006,C4173,P0179,01/02/2023,4,0.4020179474490457
O28743,C4427,P0209,2023-01-01,4,0.6503897853114524
O28894,C4245,P0063,March 5 2023,1,0.8359477692158759
O24346,C2004,P0476,March 5 2023,9,0.5481711110678593
O07943,C3010,P0320,2023-01-01,1,0.07885368442036889
O17653,C4245,P0114,01/02/2023,3,1.3240842754818747
O17748,C1608,P0439,01/02/2023,4,0.7101573888281063
O23100,C3118,P0412,March 5 2023,7,-0.005927666827513778
O00923,C0361,P0058,March 5 2023,9,-0.17851375858064036
O16854,C1716,P0254,March 5 2023,6,0.9071850735590181
O22981,C2421,P0295,March 5 2023,8,0.5870900108383705
O27592,C4190,P0288,01/02/2023,8,-0.09581275809615959
O10246,C3461,P0494,01/02/2023,1,-0.08489769244068161
O12475,C3981,P0215,March 5 2023,8,-0.14411540902560957
O26627,C2129,P0238,01/02/2023,6,0.04025557982392783
O19338,C4728,P0034,01/02/2023,4,0.9839509046590826
O17532,C2460,P0494,01/02/2023,3,0.4379779530466797
O03086,C2050,P0070,01/02/2023,5,1.204283460225825
O25535,C4108,P0352,March 5 2023,6,1.4165626047052167
O14860,C4259,P0195,01/02/2023,9,-0.05429048754542973
O17013,C4712,P0034,March 5 2023,1,0.8406087367525998
O07407,C1368,P0161,2023-01-01,4,-0.1550928609231241
O00774,C4261,P0073,2023-01-01,9,0.3494973423843703
O24935,C3146,P0457,March 5 2023,5,0.2654447328093929
O08709,C0660,P0228,March 5 2023,2,1.475100275583592
O16311,C4562,P0147,01/02/2023,7,0.28085398342041723
O01343,C0515,P0043,2023-01-01,7,1.0414837635642222
O23782,C0719,P0208,2023-01-01,3,-0.1572474351277842
O10161,C0171,P0424,2023-01-01,7,1.388227464823912
O23581,C1469,P0204,01/02/2023,4,0.03927465949297396
O21400,C1173,P0390,March 5 2023,9,-0.03908141728899253
O11419,C4666,P0349,01/02/2023,7,1.4025281461352446
O07797,C4900,P0277,2023-01-01,9,-0.059339460216875306
O19283,C1174,P0266,01/02/2023,6,0.7204384474030152
O00934,C3744,P0012,01/02/2023,8,0.9551793645565532
O01986,C4208,P0022,March 5 2023,8,0.6879645697864072
O21380,C1941,P0073,01/02/2023,4,0.8842652037853571
O14016,C4031,P0283,01/02/2023,6,0.6459608701860249
O22926,C1397,P0400,01/02/2023,9,0.6255535523880216
O05465,C4021,P0174,March 5 2023,6,0.48757827165971607
O29890,C0697,P0477,2023-01-01,5,0.7152485911903732
O22695,C1774,P0021,March 5 2023,1,-0.06649501137070765
O24952,C3211,P0176,March 5 2023,3,0.43949979089859664
O28136,C3473,P0423,2023-01-01,9,0.5633215989720806
O09966,C4063,P0083,2023-01-01,9,0.5982754868279003
O15721,C2754,P0389,2023-01-01,6,0.5762592458923685
O01505,C4451,P0337,March 5 2023,8,0.861640894087119
O05363,C4334,P0222,2023-01-01,8,0.5418631630058588
O15940,C3053,P0409,01/02/2023,3,1.011257538231077
O10846,C4608,P0174,2023-01-01,7,1.460817967836946
O01010,C2680,P0321,March 5 2023,3,0.8019919555456589
O14924,C3603,P0251,01/02/2023,7,1.263475789746812
O13482,C3344,P0172,March 5 2023,5,0.94735845084441
O19861,C1429,P0158,2023-01-01,9,0.11319222190831818
O24125,C2161,P0049,01/02/2023,7,0.08168261917919278
O25806,C0026,P0268,01/02/2023,7,0.8065732290282839
O09369,C3771,P0037,March 5 2023,9,0.10994269650683336
O03857,C1441,P0226,01/02/2023,2,-0.06380115775712017
O26671,C4687,P0280,March 5 2023,2,1.4730008012664404
O09864,C2227,P0255,01/02/2023,8,0.6998811063852082
O10120,C0566,P0479,March 5 2023,3,0.670597487342282
O20223,C0246,P0284,01/02/2023,3,1.118059916782455
O11370,C1523,P0125,March 5 2023,5,0.7786074672111989
O20652,C2364,P0290,2023-01-01,9,0.5960696755017241
