Product_ID,Product_Name,Category,Cost_Price,Selling_Price
P0000,,,343.0939537518077,475.03779746250683
P0001,phone,Tech,141.10798263747412,165.4861386156644
P0002,Chair,tech,450.5518113394142,188.89214625887612
P0003,phone,Tech,436.5708483679952,474.3248796394444
P0004,Desk,,84.52731736769266,374.8433337716173
P0005,Laptop,Tech,97.87478243633481,932.9898932760011
P0006,,Tech,272.82721651099985,438.1352248422435
P0007,Desk,Tech,324.1501982462096,782.0723098648901
P0008,Chair,,173.70875186700835,577.2227737296184
P0009,Chair,Tech,372.5589725147168,733.6771017781019
P0010,Desk,Furniture,317.7122094134922,334.10438471385925
P0011,Laptop,Furniture,196.17084938684962,947.7144755544962
P0012,Laptop,,61.41716961904201,577.0796472229815
P0013,Tablet,tech,387.56762658433297,848.1916641567246
P0014,phone,Furniture,146.63914962128723,428.54112412850213
P0015,Tablet,FURN,425.5131845581828,190.19021414547208
P0016,Laptop,Furniture,239.13061702441485,706.3404829487639
P0017,Desk,FURN,309.6848491842944,106.98368350368203
P0018,phone,,442.82692868405087,527.7636789089574
P0019,Desk,tech,438.630350413979,273.5217123998133
P0020,Tablet,FURN,217.18380885960798,664.637953991826
P0021,Chair,FURN,144.0000017216794,981.4778858240669
P0022,Desk,Furniture,398.8157349778676,517.9626156885813
P0023,Tablet,FURN,244.88609162095904,835.7484308731
P0024,Tablet,,136.41889710155183,557.0057682560089
P0025,Tablet,,456.9914040427176,546.2560279936217
P0026,Chair,,139.1468874084893,937.3811438609
P0027,Chair,Furniture,61.61322568605399,900.9692818720133
P0028,Chair,tech,59.125988195338984,807.220418669177
P0029,phone,Furniture,330.0419104044189,366.6301779851057
P0030,Chair,,347.75377732288865,590.5075741515465
P0031,Chair,Furniture,189.96876727564276,301.5075099751165
P0032,Chair,,194.00494516117854,499.5250282418858
P0033,Desk,Tech,202.77226177697423,535.7917591838116
P0034,Chair,Tech,356.0713460414954,848.4760361523978
P0035,phone,FURN,76.16020596207287,906.4255287924938
P0036,Tablet,tech,468.10235871109654,473.15805615683007
P0037,Desk,Tech,150.13446987985088,115.9340005659135
P0038,Laptop,,499.8529423589415,875.5964558104191
P0039,Chair,Furniture,127.18521220423415,256.8508106512246
P0040,Tablet,Furniture,397.19590579056984,659.6937675013542
P0041,Tablet,FURN,150.53564521833127,122.47381039071807
P0042,Desk,Furniture,86.38106073946429,459.55582773450783
