Product_ID,Product_Name,Category,Cost_Price,Selling_Price
P0001,phone,Technology,141.10798263747412,165.4861386156644
P0003,phone,Technology,436.5708483679952,474.3248796394444
P0004,Desk,Unknown,84.52731736769266,374.8433337716173
P0005,Laptop,Technology,97.8747824363348,932.9898932760012
P0007,Desk,Technology,324.1501982462096,782.0723098648901
P0008,Chair,Unknown,173.70875186700837,577.2227737296184
P0009,Chair,Technology,372.5589725147168,733.6771017781019
P0010,Desk,Furniture,317.7122094134922,334.10438471385925
P0011,Laptop,Furniture,196.1708493868496,947.7144755544962
P0012,Laptop,Unknown,61.41716961904201,577.0796472229815
P0013,Tablet,Technology,387.56762658433297,848.1916641567246
P0014,phone,Furniture,146.63914962128723,428.5411241285021
P0016,Laptop,Furniture,239.13061702441485,706.3404829487639
P0018,phone,Unknown,442.82692868405087,527.7636789089574
P0020,Tablet,Furniture,217.183808859608,664.637953991826
P0021,Chair,Furniture,144.0000017216794,981.4778858240668
P0022,Desk,Furniture,398.8157349778676,517.9626156885813
P0023,Tablet,Furniture,244.88609162095904,835.7484308731
P0024,Tablet,Unknown,136.41889710155183,557.0057682560089
P0025,Tablet,Unknown,456.9914040427176,546.2560279936217
P0026,Chair,Unknown,139.1468874084893,937.3811438609
P0027,Chair,Furniture,61.61322568605399,900.9692818720132
P0028,Chair,Technology,59.12598819533898,807.220418669177
P0029,phone,Furniture,330.0419104044189,366.6301779851057
P0030,Chair,Unknown,347.75377732288865,590.5075741515465
P0031,Chair,Furniture,189.9687672756428,301.5075099751165
P0032,Chair,Unknown,194.0049451611785,499.5250282418858
P0033,Desk,Technology,202.77226177697423,535.7917591838116
P0034,Chair,Technology,356.0713460414954,848.4760361523978
P0035,phone,Furniture,76.16020596207287,906.4255287924938
P0036,Tablet,Technology,468.1023587110965,473.15805615683007
P0038,Laptop,Unknown,499.8529423589415,875.5964558104191
P0039,Chair,Furniture,127.18521220423416,256.8508106512246
P0040,Tablet,Furniture,397.1959057905698,659.6937675013542
P0042,Desk,Furniture,86.38106073946429,459.55582773450783
P0043,Laptop,Technology,443.719995957792,987.3642719038148
P0045,phone,Technology,231.60667660232065,481.3238367996781
P0047,Tablet,Technology,900.0,914.5793110494378
P0049,Tablet,Unknown,191.7751861933945,313.9288842756059
P0051,Tablet,Furniture,268.4175670420477,664.4245546550057
P0052,Tablet,Unknown,209.2576218155864,402.7318406953388
P0053,Desk,Furniture,451.1547790503675,704.8759515454568
P0054,Laptop,Furniture,124.64506609814096,128.90778046103304
P0055,Tablet,Furniture,117.27888778431328,220.05931165974047
P0056,phone,Furniture,309.60929089523813,717.735009495379
P0058,Chair,Furniture,137.57866444605435,871.8289081861615
P0061,Tablet,Technology,900.0,998.7042236365618
P0063,Tablet,Technology,383.0672271639159,732.6690971901792
P0064,Tablet,Furniture,251.65791475932176,264.3967439713123
P0065,phone,Furniture,471.8866940418124,648.881861486984
P0066,Laptop,Technology,381.4955308484557,753.4954615324766
P0067,Laptop,Unknown,256.066060937404,383.0289722798595
P0068,Chair,Technology,306.2008407992423,846.00740077829
P0069,phone,Technology,361.6760495412953,643.0758206250549
P0070,Tablet,Furniture,316.4855811931482,450.2107086535272
P0071,Laptop,Technology,445.41391272173416,601.8781540088428
P0072,Desk,Unknown,210.5998980261805,619.0847626923319
P0073,Desk,Technology,184.9485830251122,248.98176342447945
P0075,Tablet,Furniture,67.00233562906782,409.0875292175438
P0076,Tablet,Technology,69.35628397102491,460.8124503212135
P0077,Chair,Furniture,441.5248368991773,784.9995296367322
P0078,Chair,Unknown,355.2769158826583,534.2845667200054
P0079,Chair,Furniture,347.23958694641874,946.284537915338
P0081,Desk,Furniture,432.1486151123472,474.1332204564361
P0082,Tablet,Furniture,266.1201165495323,808.2611294311373
P0083,Desk,Technology,441.6848728512351,591.4221339886752
P0084,Chair,Furniture,211.7502617820076,592.325331782003
P0086,phone,Technology,364.39564103655806,458.7396964466103
P0087,Laptop,Technology,165.72971121099226,343.66035917955924
P0088,Laptop,Furniture,303.83821475988134,999.401610548004
P0089,Chair,Unknown,289.86375266971504,377.51956356907925
P0090,Desk,Unknown,112.05446977865029,896.0468813144771
P0091,phone,Technology,316.05930758777635,708.6103615364298
P0092,Tablet,Furniture,191.6535306726311,406.8247682728814
P0093,Desk,Technology,73.5569450643211,589.1809405367113
P0094,Chair,Unknown,476.89527096795416,856.4822919542744
P0095,Desk,Furniture,338.6706660789295,895.0314682278207
P0098,Laptop,Furniture,210.6426614630508,401.7008621922145
P0100,Desk,Furniture,354.08604215622967,638.4139838667069
P0101,phone,Technology,482.1135463406469,869.3380476929692
P0102,Tablet,Technology,164.15125660476343,443.416949042966
P0103,Chair,Technology,443.7396763808529,766.0323504857594
P0104,Tablet,Unknown,465.8350123824212,664.930372240666
P0105,Laptop,Furniture,351.6869815965305,438.0838619437008
P0108,Tablet,Furniture,478.85727921819927,869.1086520471164
P0109,Laptop,Technology,366.2522947246887,717.2690431613427
P0110,Tablet,Technology,68.90259533846536,116.09063563133626
P0113,phone,Technology,257.1471431500248,613.3474896186041
P0114,Desk,Technology,304.9099726908354,780.8299109563711
P0115,Laptop,Technology,117.22304604705256,199.5212683617935
P0116,phone,Technology,261.1247218553294,854.5040385340467
P0120,Chair,Furniture,51.1045638997299,175.31288942292758
P0121,Chair,Unknown,237.0700891174317,911.1016206800105
P0123,Desk,Furniture,409.4473231015828,453.662925973014
P0124,Tablet,Furniture,475.33539250715296,866.2948266980029
P0125,Laptop,Technology,323.8270758368539,915.6288130640812
P0126,Tablet,Unknown,164.58208999380298,555.7345061906308
P0127,Laptop,Unknown,465.8665771115145,634.6941744478827
